path,ext,size,sha,status,chars,duplicate_of,note
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Le indicazioni di ARERA sull’applicazione del CUP ai gestori del SII – Servizio Idrico Integrato.docx,.docx,22264,009ada482cc5,converted,16066,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Le multiutility devono pagare il CUP.pdf,.pdf,117538,521f72f40afa,converted,11562,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/NOTA PER FUNZIONARIO COMUNE CAPRIATE SU CONTENZIOSO UNIACQUE_02_04_26.docx_revMaria.docx,.docx,59029,8c5870845a65,converted,4706,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_CORTE_DI_APPELLO_DI_MILANO_N._3003_2018_-_N._R.G._00003566_2016_DEPOSITO_MINUTA_15_06_2018__PUBBLICAZIONE_18_06_2018.pdf,.pdf,373019,95f1a2e649cb,converted,24010,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_PRATO_N._28_2025_-_N._R.G._00000327_2024_DEPOSITO_MINUTA_15_01_2025__PUBBLICAZIONE_15_01_2025 (1).pdf,.pdf,264707,f29a9579b755,converted,43655,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_PRATO_N._28_2025_-_N._R.G._00000327_2024_DEPOSITO_MINUTA_15_01_2025__PUBBLICAZIONE_15_01_2025.pdf,.pdf,264707,f29a9579b755,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_PRATO_N._28_2025_-_N._R.G._00000327_2024_DEPOSITO_MINUTA_15_01_2025__PUBBLICAZIONE_15_01_2025 (1).pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_SALERNO_N._1658_2019_-_N._R.G._00001055_2016_DEPOSITO_MINUTA_15_05_2019__PUBBLICAZIONE_15_05_2019.pdf,.pdf,565945,5c003acaf00e,converted,31170,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_SALERNO_N._2432_2022_-_N._R.G._00003038_2014_DEPOSITO_MINUTA_04_07_2022__PUBBLICAZIONE_04_07_2022.pdf,.pdf,406442,2127c49666ae,converted,32039,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/SENTENZA_TRIBUNALE_DI_SCIACCA_N._95_2016_-_N._R.G._00000012_2014_DEPOSITO_MINUTA_15_02_2016__PUBBLICAZIONE_15_02_2016.pdf,.pdf,303499,3de9edaa2f72,converted,22102,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Sentenza C.d.A. Venezia 3441-2025.pdf,.pdf,349436,5ebf5d8436b8,converted,30099,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Sentenza_RG_000447_2024_UD_16062025.pdf,.pdf,99338,d3e6299a6f5d,converted,8471,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/Tribunale-Rovigo-Sez.I-Sentenza-del-22_11_2024.pdf,.pdf,343677,e0e1de4fbbe6,converted,18886,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/IDRICO/commento a sentenza Cass 2180 del 30.01.2020 - Servizio idrico integrato - acqua -fogne - due occupazioni sottosuolo pubblico.docx,.docx,14189,85a702ef4d54,converted,972,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/AGCOM RELAZIONE ANNUALE 2024.pdf,.pdf,0,e3b0c44298fc,error,0,,Cannot read an empty file
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/AGCOM_Osservatorio n.4-2025_0 (1).pdf,.pdf,2803805,ba220068fdb5,converted,75181,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/CASSAZIONE 11479_28Aprile2026.pdf,.pdf,138228,bbc1b83a996b,converted,14626,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/CIRCOLARE MEF 2009.pdf,.pdf,157958,8d4df9027573,converted,31928,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Circolare-n.-1-DF-del-2026-Natura-tributaria-del-CU.pdf,.pdf,256036,8e70f77ae90b,converted,7775,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Comparsa_PALAGIANO_ITALGAS_avvMaimoneAnsaldoPatti.docx,.docx,243612,259c5e7e5445,converted,17734,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/CAZZANO DI TRAMIGLIA_FASTWEB INCORPORANTE VODAFONE_revMaria_avvCARUSO.docx,.docx,134598,80fd286dffe8,converted,49519,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/CAZZANO DI TRAMIGNA_FASTWEB_revMaria_avvCaruso.docx,.docx,43530,c657ea9198b7,converted,49419,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/CITAZIONE OPPOSIZIONE FASTWEB COM. BERBENNO.pdf,.pdf,470511,ed9f058118ff,converted,52531,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/COMPARSA DI COSTITUZIONE IN GIUDIZIO COMUNE DI PALESTRO C- FASTWEB_revMaria 30Giugno.docx,.docx,123801,264255cee027,converted,44784,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/COMPARSA DI COSTITUZIONE IN GIUDIZIO COMUNE DI PALESTRO C- FASTWEB_revMaria2Luglio.docx,.docx,123919,f93ac76e126b,converted,44813,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/COMPARSA_AQUARA C- FASTWEB INCORPORANTE VODAFONE_avvMezzagreco_Alaimo.docx,.docx,41584,7aff07a02b26,converted,39299,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Cinisello Balsamo c- FASTWEB incorporante Vodafone_REVMARIA_avvMazagreco_14Luglio.docx,.docx,128170,9caccfb6276d,converted,51731,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Comparsa Comune Berbenno c-  Fastweb.doc,.doc,110592,ea43562acea7,converted,27986,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Comparsa GESET ITALA spa c-  Fastweb spa 9.12.doc,.doc,122880,cc5e4d8eab25,converted,39444,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Comparsa di Costituzione in giudizio Comune di Palestro c- Fastweb incorporante Vodafone_revMaria2luglio.docx,.docx,124398,b2c286930139,converted,45529,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Comparsa di Costituzione in giudizio Comune di Palestro c- Fastweb incorporante Vodafone_revMaria30Giugno.docx,.docx,123842,8e8c4827c877,converted,45500,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Comparsa_AQUARA_FASTWEB_20Marzo_avv_Mazzagreco_Alaimo.docx,.docx,37175,916aad3f469a,converted,39245,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Foglio di precisazione delle conclusioni Comune Berbenno c-  Fastweb.doc,.doc,60416,e756f8029808,converted,2411,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Foglio di precisazione delle conclusioni perComune Berbenno c-  Fastweb.docx,.docx,26261,1ee0ebcb4a97,converted,1602,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/MONTEFALCO C- FASTWEB EX VODAFONE_revMaria21Luglio.docx,.docx,130451,38d8a6294383,converted,44254,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Memoria Integrativa II Comune Berbenno c-  Fastweb.doc,.doc,83968,af1c462eba01,converted,17753,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/NOTA_PER_FUNZIONARIO_COMUNE_CAPRIATE_CONTENZIOSO_FASTWEB_02_04_26-2_revMaria.docx,.docx,60887,c997620f271c,converted,5640,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/NOTE FINALI PER COMUNE DI BERBENNO - FASTWEB.docx,.docx,39838,24c936161f1b,converted,25309,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Note finali Comune Berbenno c-  Fastweb.doc,.doc,71168,dc4287eb8bbf,converted,11411,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/PRIMA_MEMORIA_INTEGRATIVA di_FW.pdf,.pdf,284363,b53304ba1156,converted,11731,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/SESSA AURUNCA C- FASTWEB INCORPORANTE VODAFONE_vers2revMaria.docx_avvAlaimo.docx,.docx,133748,600bc4d946fa,converted,45345,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/TRIBUNALE DI BERGAMO 25.11.2025 COMUNE DI BERBENNO C- FASTWEB.pdf,.pdf,235628,0fc76c519c77,converted,7082,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale Piacenza Sentenza 207 del 06.05.2025 - 1grado VODAFONE.pdf,.pdf,226637,72a0e0b18efc,converted,16541,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale di Piacenza sentenza 350 del 16.07.2025 -appello WIND.pdf,.pdf,267818,225c8b8dd8c8,converted,22214,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/appello fastweb/APPELLO FASTWEB COM. BERBENNO (1).pdf,.pdf,496567,b6ea9354ca45,converted,63918,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/appello fastweb/BERBENNO_FASTWEB Appello_avvCaruso_revMaria.docx,.docx,47096,1cb696130d5b,converted,40815,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/appello fastweb/Comparsa_BERBENNO c- FASTWEB Appello_avvCARUSO.docx,.docx,47180,477875fb0587,converted,40815,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/SENTENZA N. 1523-2025 TRIBUNALE DI BERGAMO.pdf,.pdf,243355,eef890cf0c42,converted,8117,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Sentenza n. 908 2025 del 15.10.2025 del Tribunale di Bolzano.pdf,.pdf,278493,2d0abc1069b6,converted,22240,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/TRIBUNALE DI BERGAMO 25.11.2025 COMUNE DI BERBENNO C- FASTWEB.pdf,.pdf,235628,0fc76c519c77,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/TRIBUNALE DI BERGAMO 25.11.2025 COMUNE DI BERBENNO C- FASTWEB.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Tribunale Ivrea n. 1255-2025 del 29.09.2025_WIND3.pdf,.pdf,116008,472644418ac1,converted,16711,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Tribunale Piacenza Sentenza 207 del 06.05.2025 - 1grado VODAFONE.pdf,.pdf,226637,72a0e0b18efc,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale Piacenza Sentenza 207 del 06.05.2025 - 1grado VODAFONE.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Tribunale Treviso n. 240-2025 del 20.02.2025.pdf,.pdf,454425,76fc0a7073b3,converted,18016,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Tribunale di Piacenza sentenza 350 del 16.07.2025 -appello WIND.pdf,.pdf,267818,225c8b8dd8c8,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale di Piacenza sentenza 350 del 16.07.2025 -appello WIND.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Tribunale-di-Bolzano n. 431-2024 del 08.04.2024.pdf,.pdf,237889,68d100af4c06,converted,20988,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/AQUARA c- FASTWEB Incorporante VODAFONE_avvALAIMO_MEZZAGRECO__revMaria.docx,.docx,43483,a34d72208779,converted,44631,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/AQUARA c- FASTWEB_avvVITIELLO_revMaria.docx,.docx,43291,7a65f7522fcd,converted,45376,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/CAPRIATE SAN GERVASIO C- FASTWEB_AVV_MAZZAGRECO_ALAIMO_revMaria.docx,.docx,43299,ba0a562c7bbb,converted,45529,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/CAPRIATE SAN GERVASIO C- _FASTWEB EX VODAFONE PARERE SU OPPORTUNITA_DI COSTITUZIONE IN GIUDIZIO_revMaria.docx,.docx,62789,19dadd101381,converted,6141,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/CITAZIONE OPPOSIZIONE FASTWEB COM. BERBENNO.pdf,.pdf,8012687,c5731d1ec464,error,0,,Stream has ended unexpectedly
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/CITAZIONE OPPOSIZIONE VODAFONE C- COM. BERBENNO CUP 21-22-23-24.pdf,.pdf,477212,ad8935907f44,converted,55849,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Comparsa Comune Berbenno c-  VODAFONE.doc,.doc,113664,2f59ae0b1106,converted,28141,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Comparsa Costituzione Comune Berbenno c-  VODAFONE.pdf,.pdf,749359,6303fbeec30b,converted,28275,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Comparsa GESET ITALA spa c- VODAFONE.doc,.doc,119808,ac227b48e6fc,converted,38132,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Comparsa_Palagiano_Vodafone_avvMezzagreco_Alaimo.docx,.docx,32627,ed9b11ec7b38,converted,26789,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/MEMORIA DI COSTITUZIONE COMUNE DI MONTEFALCO C- FASTWEB EX VODAFONE 21.7.26 AVV. MAZZAGRECO ALAIMO.docx,.docx,130833,a892a19adc3c,converted,44631,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Comune di Palagiano c- Vodafone.docx,.docx,35597,c4314e907ec2,converted,27276,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa I Comune Berbenno c-  Vodafone ud. 25.11.2025.doc,.doc,59904,40b554a921d9,converted,1532,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa I Comune Berbenno c-  Vodafone ud. 25.11.2025.pdf,.pdf,567187,c6b9828f2e25,converted,1448,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa II Comune Berbenno c-  Vodafone ud. 25.11.2025.doc,.doc,88064,0e2ae59a0d74,converted,18737,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa II Comune Berbenno c-  Vodafone ud. 25.11.2025.pdf,.pdf,769588,f0e60fa777a2,converted,18993,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa II Comune Berbenno c-  Vodafone.doc,.doc,86016,3798c532de73,converted,17412,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa II Comune Berbenno c-  Vodafone.pdf,.pdf,774915,be3ad07ad052,converted,17655,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa III Comune Berbenno c-  Vodafone ud. 25.11.docx,.docx,31232,3b8e878d5a4a,converted,6058,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria Integrativa III Comune Berbenno c-  Vodafone ud. 25.11.pdf,.pdf,615662,e2cefb7c714f,converted,6155,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Memoria di Costituzione in GiudizIo Comune Castelsaraceno c- FASTWEB_ex Vodafone 21.7.26 AVV. ALOSI CASSATA .docx,.docx,134813,c7e2715688fb,converted,58460,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/PALAGIANO_Vodafone_avv_ALAIMO_MAZZAGRECO_revMaria.docx,.docx,32576,58bdac20e2c6,converted,26789,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Sentenza n. 908 2025 del 15.10.2025 del Tribunale di Bolzano.pdf,.pdf,278493,2d0abc1069b6,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/Sentenza n. 908 2025 del 15.10.2025 del Tribunale di Bolzano.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Tribunale Piacenza Sentenza 207 del 06.05.2025 - 1grado VODAFONE.pdf,.pdf,226637,72a0e0b18efc,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale Piacenza Sentenza 207 del 06.05.2025 - 1grado VODAFONE.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/Tribunale di Piacenza sentenza 350 del 16.07.2025 -appello WIND.pdf,.pdf,267818,225c8b8dd8c8,duplicate,0,Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/FASTWEB/Tribunale di Piacenza sentenza 350 del 16.07.2025 -appello WIND.pdf,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/VF_BERBENNO_SECONDA_MEMORIA.pdf,.pdf,216608,a5a9d9ad0107,converted,2127,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/VF_BERBENNO_TERZA_MEMORIA.pdf,.pdf,271231,eb773071ac22,converted,7184,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/VODAFONE/VODAFONE RASSEGNA_GIURISPRUDENZIALE_CUP di controparte.pdf,.pdf,4166744,c0f7e8f66bc2,converted,351840,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/BERBENNO C- WIND TRE_revMaria.docx,.docx,45627,3ce09e7a5b82,converted,50008,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/CAPPELLO SUL TAVO MEMORIA DI COSTITUZIONE PER IL COMUNE DI CAPPELLE SUL TAVO C- WIND AVV. MATUCCELLI MARTINO.docx,.docx,49448,ead8e5cf081e,converted,55835,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/CAPRIATE c. WINDTRE_revMaria_avv_Martino_Martucc.docx,.docx,47184,4bd277a26700,converted,55701,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/CAZZANO DI TRAMIGLIA C- WIND_revMaria_avvMartuccelli_Martino.docx,.docx,45937,b8841bf15c2c,converted,47918,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/Cinisello Balsamo c- Wind_CGT_rev_Maria10Luglio_avvMartucelli_Martino.docx,.docx,50084,d231c4f077d2,converted,54938,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/Comparsa Comune di  SANTA CROCE CAMERINA   c- WIND.pdf,.pdf,714470,3100c05d3b8d,converted,36014,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/Comparsa Comune di  SANTA CROCE CAMERINA c- WIND .doc,.doc,714172,7d5bb2e2292f,converted,714171,,
Memorie passate + template/CONTENZIOSO_Maria_Rosa/TELEFONIA/WIND/Francavilla al Mare_WIND_revMaria9Luglio_avv_Martuccelli_Martino.docx,.docx,49118,e1b7714976ab,converted,54476,,
